Container_ID,Declaration_Date (YYYY-MM-DD),Declaration_Time,Trade_Regime (Import / Export / Transit),Origin_Country,Destination_Port,Destination_Country,HS_Code,Importer_ID,Exporter_ID,Declared_Value,Declared_Weight,Measured_Weight,Shipping_Line,Dwell_Time_Hours,Clearance_Status
97061800,1/1/2020,20:16:40,Import,BE,PORT_30,UG,440890,QLRUBN9,0VKY2BR,372254.4,108,106.51,LINE_MODE_10,37.6,Clear
85945189,1/1/2020,9:43:49,Import,CN,PORT_40,CA,690722,7JD1S2X,8WDKMC6,375751.2,11352,11541.578,LINE_MODE_40,51.7,Critical
77854751,1/1/2020,6:15:11,Import,CN,PORT_20,BA,620822,WI9O3I5,4DT3246,5353.02,20.7,20.404,LINE_MODE_40,31.3,Clear
46925060,1/1/2020,4:04:20,Import,VN,PORT_40,MN,940350,6LI9721,PKUOG2P,1477645.4,9218,8814.252,LINE_MODE_40,11.8,Clear
34131149,1/1/2020,3:36:29,Import,VN,PORT_20,LV,71080,RZ871V1,1HMVIVH,6364800,24000,24880.8,LINE_MODE_10,70.9,Clear
38459034,1/1/2020,23:27:54,Import,CN,PORT_40,CR,851712,2EIESGV,WLTGD61,29078.8,2,2.412,LINE_MODE_10,98.9,Low Risk
69602841,1/1/2020,2:43:21,Import,DE,PORT_40,RS,391000,US268D0,BXMTYM2,10765,25,24.768,LINE_MODE_40,34.6,Clear
94070719,1/1/2020,8:49:19,Import,CN,PORT_10,CR,220870,EAPRJGG,NTDG5EH,78900,500,500.85,LINE_W6UCD9,41.8,Clear
28079013,1/1/2020,3:31:33,Import,US,PORT_13,HU,853670,OQGTRGJ,B6KLLXR,241.58,0.2,0.201,LINE_HE8ATP,43.8,Clear
66853714,1/1/2020,1:32:34,Import,CN,PORT_30,SI,940180,FI22XB4,BXMTYM2,2463.6,2053,2010.298,LINE_MODE_40,27,Clear
19246049,1/1/2020,8:51:29,Import,IT,PORT_20,SI,220429,NM5XD6W,3QHJOHO,3151.61,7.7,7.598,LINE_MODE_10,37.9,Clear
14879976,1/1/2020,6:55:36,Import,CN,PORT_30,EC,851762,KRQQAFQ,HXEPMFC,153294,1057.2,1055.297,LINE_MODE_10,45.5,Clear
58493150,1/1/2020,15:25:50,Import,CN,PORT_20,PY,854442,I6ZZMA2,K76UOWY,2547.36,14.4,13.086,LINE_MODE_10,17.6,Low Risk
43035997,1/1/2020,23:18:37,Import,CN,PORT_30,CR,851660,4IDKLYQ,S7GIAHP,2359189.8,5346,5413.894,LINE_MODE_40,49.1,Clear
35204875,1/1/2020,14:47:55,Import,ID,PORT_62,JP,441231,44A9O7H,SLE6478,2594851.2,45684,46766.711,LINE_B7S0RD,62.3,Clear
47555392,1/1/2020,15:41:52,Import,JP,PORT_20,TH,842952,H5ELQX1,DHZWEP3,1084552,1712,1695.222,LINE_W6UCD9,34.2,Clear
54770090,1/1/2020,17:14:50,Import,US,PORT_20,JP,821300,IKARAKA,10T1QG8,1620.5,5,4.956,LINE_MODE_40,34.9,Clear
91408622,1/1/2020,1:49:02,Import,CN,PORT_40,PL,852580,Y87ZITA,BXMTYM2,50127,110,114.567,LINE_MODE_40,99,Low Risk
55920693,1/1/2020,9:19:33,Import,CN,PORT_50,CL,420292,PK9KAKW,LBW8NB5,189.6,316,304.845,LINE_A5IT1U,19.4,Clear
57409866,1/1/2020,2:47:06,Import,CN,PORT_30,UG,481950,EJBNJ7G,AE0JJD2,95.55,24.5,24.578,LINE_MODE_10,48.8,Clear
24077377,1/1/2020,17:01:37,Import,CN,PORT_20,PG,950300,CJ6ZCGQ,SPNQCD4,716565.9,10711,10954.14,LINE_MODE_40,55.7,Clear
19201172,1/1/2020,2:11:32,Import,CN,PORT_40,ZZ,200599,Q8MAKJD,KILND1W,4575904,48320,48329.664,LINE_MODE_10,46.8,Critical
25886903,1/1/2020,5:56:23,Import,CA,PORT_20,PG,851762,EHXQG9A,W3K0JC6,13320.27,14.1,14.237,LINE_MODE_10,53.1,Clear
64705381,1/1/2020,16:59:01,Import,DE,PORT_30,HU,732690,Y3QS787,KQ8UJP7,33,22,22.455,LINE_MODE_10,60.4,Clear
51313213,1/1/2020,20:08:13,Import,GB,PORT_16,SI,391190,TM6WOEY,G15KUZ2,10106.25,24.5,28.406,LINE_MWIDNS,45,Low Risk
21073696,1/1/2020,2:04:16,Import,NP,PORT_70,EC,920600,55BH1VM,OOZO637,3486,60,62.292,LINE_MODE_10,71.9,Clear
38525083,1/2/2020,5:52:43,Import,CN,PORT_40,UG,401699,EM2E4JI,NL4ITTS,72.4,4,4.079,LINE_MODE_10,59.7,Clear
47431706,1/2/2020,4:24:26,Import,US,PORT_30,KR,392690,4P7B5G1,DLZIJEQ,136.92,228.2,203.865,LINE_MODE_10,34.6,Low Risk
83743051,1/2/2020,11:13:31,Import,CN,PORT_40,PY,620462,2P3V50X,O6JLM7J,30866,220,227.854,LINE_MODE_10,70.3,Clear
63617737,1/2/2020,16:27:37,Import,CN,PORT_40,TT,610990,AGE39KK,ZHR1CC1,1250,20,20.854,LINE_MODE_40,68.9,Clear
32708224,1/2/2020,6:41:04,Import,CN,PORT_40,MT,392690,C156PIZ,DWNJQL8,9.3,15.5,15.1,LINE_MWIDNS,29.7,Clear
94748548,1/2/2020,18:30:28,Import,CN,PORT_20,BA,950300,708A72F,N1MU33Y,28930,110,150.264,LINE_MODE_10,142.5,Critical
38543102,1/2/2020,12:57:02,Import,NI,PORT_30,IL,630790,35QPBS0,QDA3U8T,690,300,329.112,LINE_MODE_10,36.2,Low Risk
57728656,1/2/2020,16:00:16,Import,CN,PORT_40,ZZ,640299,1E7DTR5,1DKNO2M,514,5,4.791,LINE_MODE_10,19.1,Clear
40371610,1/2/2020,23:00:10,Import,TR,PORT_40,LV,250810,9RMD0T5,YFEUVQC,64568.84,2819.6,2907.572,LINE_W6UCD9,67.3,Clear
73126688,1/2/2020,3:06:08,Import,US,PORT_20,LV,392690,MJZO983,E3Q8ABV,9.48,0.3,0.313,LINE_VZIZJJ,74.5,Clear
24697408,1/2/2020,11:51:28,Import,VN,PORT_10,CA,940490,SKDR671,MM7MN4S,21053.34,911.4,895.177,LINE_MODE_10,34.9,Clear
95975634,1/2/2020,0:17:54,Import,DE,PORT_30,GU,390950,28OZXXF,42VLJD6,110175,250,301.46,LINE_MODE_10,98.9,Low Risk
46824398,1/2/2020,18:54:38,Import,CN,PORT_10,GU,940360,ZYVOW2Z,XVKXZOK,70290,9900,10268.28,LINE_MODE_10,71.2,Clear
93188371,1/2/2020,18:55:31,Import,CN,PORT_40,BR,620463,F3XOF3E,U69S3XW,403485.6,6132,5982.992,LINE_MODE_10,30.7,Clear
27330422,1/2/2020,10:19:02,Import,CN,PORT_40,IL,841320,6JZPZ3O,V9GO1VJ,44082.72,3643.2,3735.009,LINE_MODE_10,63.3,Clear
84902588,1/2/2020,6:11:08,Import,IT,PORT_10,AM,841459,037VMHI,NNBIK6P,25152.84,392.4,389.339,LINE_MODE_10,41.5,Clear
57565526,1/2/2020,23:21:26,Import,VN,PORT_30,UG,640299,N6CG9ZF,EKEWR8W,359100.96,3493.2,3399.582,LINE_MODE_10,29,Clear
73045847,1/2/2020,8:02:47,Import,CN,PORT_20,SD,850519,U89JAWF,PUR3454,218,5,5.188,LINE_MODE_40,65.6,Clear
98752699,1/2/2020,1:22:19,Import,DE,PORT_30,HN,330499,YFDPPDW,5WRJWBD,67678,380,384.446,LINE_MODE_10,54.4,Clear
88268883,1/2/2020,20:56:03,Import,CN,PORT_40,RS,610910,EKI0ID0,CXC3E7O,624,40,48.298,LINE_MODE_40,93.4,Low Risk
35053269,1/2/2020,14:25:09,Import,JP,PORT_40,HU,310100,MODEXI2,R6OX3Y9,4712130,127700,124724.59,LINE_MWIDNS,25.3,Clear
51770822,1/2/2020,7:19:02,Import,TW,PORT_40,BA,940290,NMF3ARJ,FDS7TF3,22570,14.8,15.173,LINE_EIZP3I,57.3,Clear
39894127,1/2/2020,4:34:07,Import,VN,PORT_20,HN,940169,0NBY50H,IHDE3DP,258480,3600,3591.72,LINE_MODE_40,39.2,Clear
65839607,1/2/2020,14:18:47,Import,DE,PORT_20,LV,392690,J4HE1D5,TJ5LQYN,60,100,95.77,LINE_MODE_10,18.8,Clear
50196114,1/2/2020,19:45:54,Import,JP,PORT_20,GU,71290,QBIH1EB,Z7DI1C1,81170,100,97.92,LINE_MODE_10,33,Clear
23794696,1/2/2020,21:54:16,Import,VN,PORT_30,JP,160419,ETURNFG,AM05MDE,252150,500,519.1,LINE_MODE_10,71.9,Clear
65637572,1/2/2020,13:11:32,Import,CN,PORT_20,UG,901910,GR4J0RB,SB737F4,6630,1275,1275.255,LINE_MODE_10,46.8,Clear
78327056,1/2/2020,4:26:56,Import,CN,PORT_20,SV,200599,7OUO7H7,IJ8KT4I,385200,6000,5749.2,LINE_MODE_10,19.1,Clear
11817825,1/2/2020,13:43:45,Import,JP,PORT_16,CR,844180,EXV87PQ,AWI1M30,1121380,24700,24667.89,LINE_MODE_40,39.8,Clear
14504852,1/2/2020,9:39:32,Import,CN,PORT_62,CR,851829,BLZGA7I,P5KJOIV,722568,7590,7287.918,LINE_MODE_40,14.4,Critical
60904587,1/2/2020,10:08:27,Import,CH,PORT_20,LR,910229,T9K1CH7,L5GONLU,57.22,0.2,0.194,LINE_MODE_10,25.4,Clear
52259628,1/2/2020,21:21:48,Import,IT,PORT_20,NO,420330,K475220,VVFLVNF,1712,5,4.861,LINE_MODE_10,28.3,Clear
53200097,1/2/2020,13:20:17,Import,US,PORT_40,MG,853690,RVKGBFV,DYE3F4N,156.8,4,3.631,LINE_MODE_40,12.5,Low Risk
